Ranking,Instituto,Country,Size,Visibilidad,Ficheros_ricos,Scholar
1,Cleveland Clinic,us,230,5,17,11
2,St Jude Children's Research Hospital,us,58,3,103,37
3,Johns Hopkins Medicine,us,23,6,31,61
4,Mayo Clinic Scottsdale AZ,us,125,1,987,94
5,University of Maryland Medical Center,us,92,2,1262,34
6,M D Anderson Cancer Center,us,97,14,25,39
7,Massachusetts General Hospital,us,401,20,82,18
8,Assistance Publique Hôpitaux de Paris,fr,96,67,10,43
9,Memorial Sloan Kettering Cancer Center,us,26,18,619,107
10,New York Presbyterian / Lower Manhattan Hospital,us,293,4,379,218
11,Providence Health & Services,us,43,29,49,127
12,Deer's Head Hospital Center,us,9,139,4,82
13,Buddhist Tzu Chi General Hospital,tw,42,407,14,8
14,Beth Israel Deaconess Medical Center Needham,us,3,148,825,30
15,Aurora Health Care,us,331,249,61,7
16,Taipei Veterans General Hospital,tw,315,111,24,42
17,Advocate Health Care,us,268,154,68,23
18,University of Pittsburgh Medical Center,us,85,30,170,161
19,Brigham and Women's Hospital,us,50,37,224,146
20,(1)  Hartford Hospital,us,47,46,272,122
21,INCA Instituto Nacional de Câncer,br,432,106,159,26
22,University Clinic Heidelberg Universittsklinikum Heidelberg,de,108,98,23,96
23,Erasmus Medisch Centrum Universitait Medisch Centrum Rotterdam,nl,326,92,152,40
24,Asklepios Klinikum Bad Abbach,de,772,84,101,35
25,Xinqiao Hospital Third Military Medical University,cn,234,183,244,16
26,Alberta Health Services,ca,502,79,11,95
27,Tricare Military Health System,us,411,39,54,152
28,National Taiwan University Hospital,tw,192,36,18,240
29,Children's Hospital of Philadelphia,us,444,23,286,155
30,H Lee Moffitt Cancer Center & Research Institute,us,1790,181,301,9
31,Navy Medicine,us,294,134,21,73
32,Children's Mercy Hospitals and Clinics,us,950,49,123,103
33,Jilin University Bethune Hospital - First Hospital of Jilin University,cn,303,44,1353,57
34,Leiden University Medical Center / Leids Universitair Medisch Centrum,nl,77,125,219,90
35,Centre Hospitalier Universitaire Vaudois Lausanne,ch,709,220,88,20
36,Arizona State Hospital,us,857,51,12,204
37,Hôpitaux Universitaires de Geneve,ch,798,234,65,29
38,Universitätsklinikum Hamburg Eppendorf,de,159,238,28,76
39,Hospital Authority,hk,403,166,7,109
40,Universitätsklinikum und Medizinische Fakultät Tübingen,de,173,236,78,58
41,Sahlgrenska University Hospital,se,1784,698,115,3
42,Kaiser Permanente CA,us,6,10,22,2394
43,National Hospital Organization,jp,1412,190,19,47
44,University of North Carolina Healthcare,us,15,146,718,131
45,University of Wisconsin Health,us,590,206,94,53
46,Universitätsklinikum Freiburg,de,823,102,258,80
47,Seattle Children's Hospital and Medical Center,us,619,65,108,207
48,University of Chicago Hospitals,us,982,69,910,77
49,Universitätsklinikum Jena Klinikum der Friedrich Schiller Universität,de,227,363,30,55
50,Klinik und Poliklinik für Hals Nasen Ohrenheilkunde Ludwig Maximilians Universität München,de,870,227,85,50
51,Children's Hospital Boston,us,554,12,1590,297
52,Society of Cardiovascular and Interventional Radiology,us,290,70,788,143
53,Royal Children's Hospital,au,1087,193,33,87
54,Peking Union Medical College Hospital Beijing,cn,264,144,1005,71
55,(1)  University of Virginia Health System,us,571,103,308,130
56,Texas Health Resources Inc.,us,16,76,482,452
57,Instytut Psychiatrii i Neurologii,pl,2718,1498,96,1
57,Cincinnati Children's Hospital Medical Center,us,396,54,341,348
59,Hospital Israelita Albert Einstein,br,583,278,228,59
60,Northwestern Medicine,us,203,289,93,115
60,Ochsner Health System,us,120,285,370,92
62,Mount Sinai Medical Center New York,us,606,58,515,260
63,Universitair Ziekenhuis Leuven,be,228,226,190,137
64,University of Utah Health Care,us,419,130,355,161
65,UniverstätsSpitals Zürich,ch,660,314,50,88
66,Hirslanden Privatklinikgruppe,ch,248,62,252,438
67,Royal Berkshire NHS Foundation Trust,uk,3557,99,968,41
68,(1)  Inselspital Universitatsspital Bern,ch,677,243,80,128
69,Lahey Clinic,us,4,400,4654,36
70,Beijing Hospital,cn,169,90,929,252
71,Group Health Cooperative Health Care System Seattle,us,174,202,301,185
72,Partners Healthcare System,us,376,91,280,335
